Fecha,cantidad,precio_promedio,Precio_Urea_MAG,Promedio_precipitaciones_Pichincha,Evento_Excepcion,Lag_1,Lag_2,Lag_12,Precio_Lag_1,EWMA_3m,Trimestre,Mes_Num,Producto
2019-01-01,1694.0,754.1999999999999,22.53,97.75,0.0,1144.0,2443.0,1533.0,292.1269230769231,1581.634765625,1,1,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-02-01,1663.0,366.2931034482759,22.57,150.95,0.0,1694.0,1144.0,653.0,754.1999999999999,1637.8173828125,1,2,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-03-01,1351.0,319.3433333333333,22.44,121.0,0.0,1663.0,1694.0,1369.0,366.2931034482759,1650.40869140625,1,3,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-04-01,2147.0,327.65555555555557,22.38,155.8,0.0,1351.0,1663.0,1628.0,319.3433333333333,1500.704345703125,2,4,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-05-01,1033.0,193.1457142857143,22.12,123.69999999999999,0.0,2147.0,1351.0,2229.0,327.65555555555557,1823.8521728515625,2,5,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-06-01,2075.0,409.38235294117646,22.12,166.54999999999998,0.0,1033.0,2147.0,1360.0,193.1457142857143,1428.4260864257812,2,6,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-07-01,2420.0,453.43783783783783,22.31,169.95000000000002,0.0,2075.0,1033.0,2194.0,409.38235294117646,1751.7130432128906,3,7,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-08-01,2243.0,497.86206896551727,22.23,75.4,0.0,2420.0,2075.0,2954.0,453.43783783783783,2085.8565216064453,3,8,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-09-01,1103.0,271.3333333333333,22.32,58.550000000000004,0.0,2243.0,2420.0,1324.0,497.86206896551727,2164.4282608032227,3,9,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-10-01,1328.0,212.74285714285716,22.27,79.3,1.0,1103.0,2243.0,1317.0,271.3333333333333,1633.7141304016113,4,10,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-11-01,2080.0,407.9972222222222,22.28,91.55,1.0,1328.0,1103.0,2443.0,212.74285714285716,1480.8570652008057,4,11,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2019-12-01,2351.0,496.109375,22.32,107.05000000000001,0.0,2080.0,1328.0,1144.0,407.9972222222222,1780.4285326004028,4,12,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-01-01,2763.0,524.1676470588236,21.35,88.14999999999999,1.0,2351.0,2080.0,1694.0,496.109375,2065.7142663002014,1,1,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-02-01,1622.0,311.00857142857143,21.39,100.35,1.0,2763.0,2351.0,1663.0,524.1676470588236,2414.3571331501007,1,2,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-03-01,1728.0,401.05,22.08,71.8,1.0,1622.0,2763.0,1351.0,311.00857142857143,2018.1785665750504,1,3,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-04-01,353.0,162.4666666666667,21.69,100.7,1.0,1728.0,1622.0,2147.0,401.05,1873.0892832875252,2,4,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-05-01,2286.0,563.4714285714286,21.82,120.3,1.0,353.0,1728.0,1033.0,162.4666666666667,1113.0446416437626,2,5,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-06-01,2768.0,387.78749999999997,21.25,141.95,1.0,2286.0,353.0,2075.0,563.4714285714286,1699.5223208218813,2,6,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-07-01,1952.0,260.2450980392157,21.35,161.75,0.0,2768.0,2286.0,2420.0,387.78749999999997,2233.7611604109406,3,7,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-08-01,993.0,182.78285714285713,21.23,88.9,0.0,1952.0,2768.0,2243.0,260.2450980392157,2092.8805802054703,3,8,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-09-01,2224.0,260.11724137931037,21.36,105.2,0.0,993.0,1952.0,1103.0,182.78285714285713,1542.9402901027352,3,9,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-10-01,3563.0,564.4904761904761,22.18,63.75,1.0,2224.0,993.0,1328.0,260.11724137931037,1883.4701450513676,4,10,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-11-01,1910.0,303.9232558139535,21.65,92.8,0.0,3563.0,2224.0,2080.0,564.4904761904761,2723.235072525684,4,11,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2020-12-01,1961.0,279.194,21.59,109.85,0.0,1910.0,3563.0,2351.0,303.9232558139535,2316.617536262842,4,12,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-01-01,1889.0,229.56152542372882,20.65,129.05,0.0,1961.0,1910.0,2763.0,279.194,2138.808768131421,1,1,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-02-01,3140.0,673.7967741935485,20.9,111.4,1.0,1889.0,1961.0,1622.0,229.56152542372882,2013.9043840657105,1,2,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-03-01,1992.0,264.13157894736844,21.62,160.7,1.0,3140.0,1889.0,1728.0,673.7967741935485,2576.9521920328552,1,3,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-04-01,1548.0,334.92857142857144,22.7,170.0,0.0,1992.0,3140.0,353.0,264.13157894736844,2284.4760960164276,2,4,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-05-01,1781.0,231.61666666666667,24.1,195.8,1.0,1548.0,1992.0,2286.0,334.92857142857144,1916.2380480082138,2,5,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-06-01,2763.0,390.88392857142856,28.57,214.35,0.0,1781.0,1548.0,2768.0,231.61666666666667,1848.619024004107,2,6,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-07-01,1804.0,431.8181818181818,30.13,166.5,0.0,2763.0,1781.0,1952.0,390.88392857142856,2305.8095120020535,3,7,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-08-01,2062.0,462.01428571428573,31.43,83.25,0.0,1804.0,2763.0,993.0,431.8181818181818,2054.9047560010267,3,8,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-09-01,1535.0,304.65384615384613,31.41,146.85,0.0,2062.0,1804.0,2224.0,462.01428571428573,2058.4523780005134,3,9,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-10-01,1476.0,256.67021276595744,36.86,205.3,1.0,1535.0,2062.0,3563.0,304.65384615384613,1796.7261890002567,4,10,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-11-01,1105.0,229.6875,45.01,114.3,0.0,1476.0,1535.0,1910.0,256.67021276595744,1636.3630945001282,4,11,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2021-12-01,1305.0,199.58035714285714,50.73,167.05,0.0,1105.0,1476.0,1961.0,229.6875,1370.681547250064,4,12,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
2022-01-01,883.0,206.67567567567568,50.59,95.55,0.0,1305.0,1105.0,1889.0,199.58035714285714,1337.840773625032,1,1,SULFATO DE CALCIO/YESO AGRICOLA 50 KG (NACIONAL)
